altura,fnac,fortuna,nacionalidad,nombre,peso
,"May 17, 1973 ",[215000000.0],United States,Suzana Drobnjaković,
[1.68],"January 3, 1950",[200000000.0],American,Vicki Ree Principal,
[1.66],"December 30, 1959",[199560000.0],British and American,Tracey Ullman and John McKeown,
,"October 22, 1943",[185000000.0],France,Catherine Fabienne Dorléac,
[1.75],"December 16, 1981",[185000000.0],United States,Krysten Alyce Ritter ,
[1.78],"March 27, 1963 ",[160000000.0],Brazil,Maria da Graça Meneghel,
[1.7],"July 10, 1972",[160000000.0],Colombian,Sofía Margarita Vergara Vergara,[56.0]
[2.11],"March 24, 1984",[110000000.0],United States,Christopher Wesson Bosh,[107.0]
[1.83],"May 6, 1985",[95000000.0],United States,"Christopher ""Chris"" Emmanuel Paul",[79.0]
[1.91],"February 7, 1974",[95000000.0],Canadian-British,Stephen John Nash,[81.0]
[2.11],"November 16, 1982 ",[90000000.0],United States,Amar'e Carsares Stoudemire,[118.0]
[1.65],"November 23, 1992",[160000000.0],American,Destiny Hope Cyrus,[47.0]
,"June 4, 1975",[160000000.0],American,Angelina Jolie Voight,[62.0]
[1.65],"November 11, 1962",[150000000.0],United States,Demi Guynes Kutcher,[59.0]
[1.65],"March 31, 1985",[145000000.0],United States,Jessica Karen Szohr ,
," August 9, 1976 ",[145000000.0],France,Audrey Justine Tautou,
,"May 11, 1952",[145000000.0],United States,Frances Fisher,
[1.6],"November 22, 1984 ",[140000000.0],American,Scarlett Johansson,[52.0]
[1.75],"August 15, 1990",[135000000.0],American,Jennifer Shrader Lawrence,[52.0]
[1.63],"February 22, 1975",[125000000.0],United States,Drew Blyth Barrymore,[57.0]
[1.71],"July 26, 1964",[125000000.0],United States,Sandra Annette Bullock,[49.0]
[1.63],"September 10, 1953",[120000000.0],American,Amy Davis Irving,
[1.73],"December 21, 1937",[120000000.0],United States,Lady Jayne Seymour Fonda,
[1.8],"June 20, 1967",[120000000.0],"United States, Australia",Nicole Mary Kidman,[54.43]
[1.77],"August 7, 1975 ",[110000000.0],"South African, American",Charlize Theron,
,"February 14, 1942",[59000000000.0],American,Michael Rubens Bloomberg,
,"March 11, 1931",[24100000000.0],Australian-American,Keith Rupert Murdoch,
,"November 30, 1929",[13300000000.0],American,Donald Edward Newhouse,
,"September 29, 1936",[7680000000.0],Italian,Silvio Berlusconi,
[1.7],"May 14, 1944",[7620000000.0],American,"George Walton Lucas, Jr.",
,"October 14, 1939 ",[5410000000.0],United States,Ralph Lifshitz ,
[1.71],"December 18, 1946",[5410000000.0],American,Steven Allan Spielberg,
,1962,[5330000000.0],Brazil,Joao Moreira Salles,
,"May 27, 1923",[5100000000.0],American,Sumner Murray Rothstein,
,,[4880000000.0],India,,
,"December 13, 1946",[4500000000.0],British,Clive Ian Calder,
,6 April 1946,[4000000000.0],Italian,Patrizio Bertelli,
,"February 25, 1937",[3600000000.0],Polish-American,Barbara Piasecka Johnson,
,10 May 1949,[3500000000.0],Italian,Miuccia Bianchi Prada,
,"September 8, 1967",[3500000000.0],Australian,James Douglas Packer,
,"December 6, 1944",[3400000000.0],Israeli,,
,1964,[3300000000.0],India,Kalanithi Maran ,
